lng	lat
2,351100	48,850300
2,341200	48,806900
2,395020	48,879167
2,351074	48,835797
2,460938	48,806863
2,351074	48,806863
2,548828	48,850258
7,668457	48,574790
7,646484	48,632909
7,646484	48,618385
7,536621	48,632909
4,812012	45,736860
4,746094	45,721522
4,833984	45,752193
4,987793	45,736860
4,877930	45,721522
4,746094	45,706179
0,725098	45,213004
0,769043	45,243953
0,944824	45,228481
0,834961	45,228481
0,856934	45,166547
9,162598	42,309815
9,052734	42,293564
9,162598	42,277309
9,096680	42,261049
0,944824	45,197522
1,010742	45,166547
0,769043	45,197522
2,354679	48,835797
2,351482	48,806863
2,350667	48,806920
2,351031	48,806708
2,350667	2,350667
2,351224	48,807019
2,351246	48,806750
2,353156	48,810199
2,352769	48,810114
2,353027	48,810001
2,351160	48,806779
2,351482	48,806793
2,346826	48,808559
2,346976	48,809209
2,346933	48,809026
2,346997	48,808870
2,347233	48,808800
2,347147	48,808573
2,347469	48,808729
2,346804	48,808856
2,363434	48,813194
2,335968	48,816359
2,316055	48,875554
2,349014	48,888198
2,360001	48,933326
2,490463	48,933778
-0,076904	47,931066
0,032959	47,982568
0,054932	47,960502
-0,736084	47,480088
-0,823975	47,487513
-0,670166	47,480088
0,076904	46,596619
2,131348	47,092566
-3,922119	48,348948
-3,801270	48,283193
2,351074	50,757310
2,186279	50,743408
2,021484	43,596306
2,219238	43,691708
2,219238	43,628123
7,316895	43,786958
7,053223	43,707594
7,207031	43,723475
6,855469	43,755225
5,053711	44,260937
4,921875	44,260937
5,053711	47,724545
4,943848	47,694974
5,119629	47,694974
5,031738	47,694974
9,074707	41,722131
4,306641	49,023461
4,416504	48,980217
0,791016	49,453843
0,615234	49,439557
0,747070	49,453843
-0,483398	44,087585
-0,593262	43,834527
-0,285645	43,992815
-0,417480	43,929550
-0,285645	43,913723
-0,329590	43,771094
2,944336	45,813486
4,592285	46,965259
-0,439453	45,951150
